CodigoFactura,TipoFactura,Sucursal,Cliente,Producto,Precio,Cantidad,FechaHora,MedioPago,Empleado,DetallesPago
433-19-3891,C,SJ2,36567571,Colgador WC azul efecto lejía Bosque Verde,1.4,3,2024-06-30 13:17:58,Efectivo,6679,
433-19-3891,C,SJ2,36567571,Espuma de afeitar hidrotermal La Toja classic,2.35,5,2024-06-30 13:17:58,Efectivo,6679,
433-19-3891,C,SJ2,36567571,Rodillo quitapelusas Bosque Verde,1.75,6,2024-06-30 13:17:58,Efectivo,6679,
835-26-8960,B,MD1,31197190,Bebida láctea de piña y coco Hacendado,1.16,5,2023-08-04 11:40:43,Billetera Electronica,2571,1a652c92fc8724ef4e7961340c9b02005d1ea99ee611aa71bd20715d8ea42d7e
835-26-8960,B,MD1,31197190,Vasos de cartón para bebida caliente Bosque Verde,2.2,2,2023-08-04 11:40:43,Billetera Electronica,2571,1a652c92fc8724ef4e7961340c9b02005d1ea99ee611aa71bd20715d8ea42d7e
835-26-8960,B,MD1,31197190,Chocolatinas chocolate extrafino negro Hacendado,2.0,7,2023-08-04 11:40:43,Billetera Electronica,2571,1a652c92fc8724ef4e7961340c9b02005d1ea99ee611aa71bd20715d8ea42d7e
835-26-8960,B,MD1,31197190,Coulant de chocolate Hacendado,2.0,8,2023-08-04 11:40:43,Billetera Electronica,2571,1a652c92fc8724ef4e7961340c9b02005d1ea99ee611aa71bd20715d8ea42d7e
835-26-8960,B,MD1,31197190,Licor de crema catalana Royal Swan,6.0,4,2023-08-04 11:40:43,Billetera Electronica,2571,1a652c92fc8724ef4e7961340c9b02005d1ea99ee611aa71bd20715d8ea42d7e
181-84-9871,C,SJ1,43839700,Papel de aluminio Bosque Verde,1.55,3,2024-06-21 20:55:39,Tarjeta de credito,3617,5100-1582-7702-8327
181-84-9871,C,SJ1,43839700,Eau de toilette hombre Alejandro Sanz Mi acorde,12.95,9,2024-06-21 20:55:39,Tarjeta de credito,3617,5100-1582-7702-8327
228-62-3910,A,MD1,0,Multiusos ph neutro Las 3 Brujas,2.35,8,2023-07-02 18:54:09,Efectivo,6887,
228-62-3910,A,MD1,0,Infusión Salvia Hacendado,1.1,1,2023-07-02 18:54:09,Efectivo,6887,
228-62-3910,A,MD1,0,Tampones super Tampax,4.4,5,2023-07-02 18:54:09,Efectivo,6887,
228-62-3910,A,MD1,0,Croissant de espelta,0.45,6,2023-07-02 18:54:09,Efectivo,6887,
228-62-3910,A,MD1,0,Alubia pinta Hacendado,1.9,8,2023-07-02 18:54:09,Efectivo,6887,
168-26-8097,A,RM2,30260108,Vino tinto Don Simón,1.45,7,2023-11-11 01:32:13,Billetera Electronica,3048,10adf12d0462641cb7860eb0b0eebd2f3f9f9a4b7248a600a11de96d93d80a70
168-26-8097,A,RM2,30260108,Langostino cocido,985.05,2,2023-11-11 01:32:13,Billetera Electronica,3048,10adf12d0462641cb7860eb0b0eebd2f3f9f9a4b7248a600a11de96d93d80a70
670-73-7569,A,CP2,33539480,Planchado fácil Bosque Verde,1.95,1,2025-02-09 14:47:33,Efectivo,6216,
670-73-7569,A,CP2,33539480,Postre lácteo infantil de fresa Yogolino +8 meses,2.25,9,2025-02-09 14:47:33,Efectivo,6216,
670-73-7569,A,CP2,33539480,Pechugas de pollo rural enteras,4.37,5,2025-02-09 14:47:33,Efectivo,6216,
670-73-7569,A,CP2,33539480,Eau de parfum mujer Codizia,9.0,10,2025-02-09 14:47:33,Efectivo,6216,
670-73-7569,A,CP2,33539480,Vela de cumpleaños 1 Hacendado,0.75,9,2025-02-09 14:47:33,Efectivo,6216,
321-13-9463,A,SJ2,40726487,Toallitas desmaquillantes cara y ojos Deliplus piel normal-mixta,1.0,7,2023-10-01 20:02:34,Efectivo,1322,
321-13-9463,A,SJ2,40726487,Cerveza doble malta 1897,3.36,8,2023-10-01 20:02:34,Efectivo,1322,
816-12-7271,C,MD2,0,Calamar pequeño limpio descongelado sin barquilla y sin tripa,0.24,8,2024-05-05 00:40:34,Billetera Electronica,4142,f3509e6e19b07f08f3a4c74182e308cf70f02994b464e06053fdac2ffdbc9ae7
816-12-7271,C,MD2,0,Vino rosado D.O La Mancha Fidencio,1.2,1,2024-05-05 00:40:34,Billetera Electronica,4142,f3509e6e19b07f08f3a4c74182e308cf70f02994b464e06053fdac2ffdbc9ae7
816-12-7271,C,MD2,0,Leche entera fresca Hacendado,0.9,6,2024-05-05 00:40:34,Billetera Electronica,4142,f3509e6e19b07f08f3a4c74182e308cf70f02994b464e06053fdac2ffdbc9ae7
195-28-3498,B,CP2,34508041,Corrector fluido fijo & cubriente Deliplus 02 beige rosado,4.5,7,2023-12-16 04:21:38,Billetera Electronica,7357,74ad74ed3141d4598b82a8aeab544fdc0796cb41b9bd9e300d1efa7229475137
195-28-3498,B,CP2,34508041,Suavizante ropa azul Bosque Verde concentrado,1.79,4,2023-12-16 04:21:38,Billetera Electronica,7357,74ad74ed3141d4598b82a8aeab544fdc0796cb41b9bd9e300d1efa7229475137
517-43-8874,C,HA1,20519603,Lejía con detergente Bosque Verde,0.71,8,2024-09-17 23:46:41,Tarjeta de credito,6887,5138-1879-2258-2795
517-43-8874,C,HA1,20519603,Caracoles en salsa mediterránea,3.95,3,2024-09-17 23:46:41,Tarjeta de credito,6887,5138-1879-2258-2795
517-43-8874,C,HA1,20519603,Clip rubio Deliplus,1.5,9,2024-09-17 23:46:41,Tarjeta de credito,6887,5138-1879-2258-2795
469-67-1003,C,LD1,33513975,Sombra de ojos perlada Deliplus 08,3.0,6,2023-06-11 03:52:36,Billetera Electronica,5950,6b496636a61ef79493e57ba285cf0566ec2254f079f8939598a97a195206f4b8
469-67-1003,C,LD1,33513975,Agua mineral Cortes pequeña tapón infantil,1.2,1,2023-06-11 03:52:36,Billetera Electronica,5950,6b496636a61ef79493e57ba285cf0566ec2254f079f8939598a97a195206f4b8
469-67-1003,C,LD1,33513975,Caña de crema al cacao Hacendado,0.38,5,2023-06-11 03:52:36,Billetera Electronica,5950,6b496636a61ef79493e57ba285cf0566ec2254f079f8939598a97a195206f4b8
469-67-1003,C,LD1,33513975,Leche corporal autobronceadora Deliplus,4.55,7,2023-06-11 03:52:36,Billetera Electronica,5950,6b496636a61ef79493e57ba285cf0566ec2254f079f8939598a97a195206f4b8
469-67-1003,C,LD1,33513975,Licor de anís Marie Brizard Anisette,8.9,3,2023-06-11 03:52:36,Billetera Electronica,5950,6b496636a61ef79493e57ba285cf0566ec2254f079f8939598a97a195206f4b8
568-10-7282,B,CP1,37126665,Chupete todo látex anatómico +6 a 18 meses Deliplus,2.5,10,2023-06-09 09:58:42,Tarjeta de credito,7127,5593-8995-4125-4264
568-10-7282,B,CP1,37126665,Bálsamo de rizos cabello rizado Deliplus fijación 1,2.95,10,2023-06-09 09:58:42,Tarjeta de credito,7127,5593-8995-4125-4264
568-10-7282,B,CP1,37126665,Pasas sultanas sin semillas Hacendado,1.81,6,2023-06-09 09:58:42,Tarjeta de credito,7127,5593-8995-4125-4264
265-61-2764,C,RM1,0,Perfilador de labios Deliplus 02 burdeos,2.5,4,2024-12-23 21:34:23,Billetera Electronica,8799,c55cfd49e649f9e6abaf6721e20fad2a0df5bd786cceaa30e98b04f44431f4e3
365-89-1391,C,RM2,37738937,Tomates en rama,1.72,9,2023-04-04 04:31:37,Efectivo,6187,
365-89-1391,C,RM2,37738937,Ron dominicano añejo superior Brugal,13.79,5,2023-04-04 04:31:37,Efectivo,6187,
365-89-1391,C,RM2,37738937,Compresa sin alas de incontinencia Deliplus normal,3.85,6,2023-04-04 04:31:37,Efectivo,6187,
365-89-1391,C,RM2,37738937,Arena para gato antibacterias Nuske perfumada,1.39,1,2023-04-04 04:31:37,Efectivo,6187,
197-57-5133,A,RM1,35452818,Pulpo cocido,7.5,5,2023-04-28 17:31:42,Efectivo,2644,
197-57-5133,A,RM1,35452818,Jamón cebo ibérico cortado a máquina,5.52,6,2023-04-28 17:31:42,Efectivo,2644,
197-57-5133,A,RM1,35452818,"Pimientos tricolor rojo, amarillo y verde",1.79,6,2023-04-28 17:31:42,Efectivo,2644,
839-90-1866,B,CP2,0,Infusión Cola de caballo Hacendado,1.2,9,2024-11-07 12:55:58,Efectivo,6271,
839-90-1866,B,CP2,0,Espinacas Ybarra,1.0,1,2024-11-07 12:55:58,Efectivo,6271,
839-90-1866,B,CP2,0,Harina para fritos Nurture,0.8,9,2024-11-07 12:55:58,Efectivo,6271,
871-76-5275,C,MD2,36128115,Cerveza Abadía tostada Hélécine,1.25,4,2024-01-13 14:08:19,Billetera Electronica,2810,841ce07752faaab7c35f4ccd9b2af8cc04ae09d115b1a1b3409e079629268fb5
871-76-5275,C,MD2,36128115,Sazonador pollo asado Hacendado,1.05,5,2024-01-13 14:08:19,Billetera Electronica,2810,841ce07752faaab7c35f4ccd9b2af8cc04ae09d115b1a1b3409e079629268fb5
871-76-5275,C,MD2,36128115,Absorbeolores Bosque Verde cítrico,0.6,6,2024-01-13 14:08:19,Billetera Electronica,2810,841ce07752faaab7c35f4ccd9b2af8cc04ae09d115b1a1b3409e079629268fb5
871-76-5275,C,MD2,36128115,Cebolla frita Hacendado,2.09,3,2024-01-13 14:08:19,Billetera Electronica,2810,841ce07752faaab7c35f4ccd9b2af8cc04ae09d115b1a1b3409e079629268fb5
818-62-5782,B,HA1,0,Tinto de verano classic Casón Histórico,1.18,8,2024-06-15 01:47:35,Tarjeta de credito,1693,4368-2015-1688-148
818-62-5782,B,HA1,0,Esponja de baño dermo agua Deliplus,1.5,4,2024-06-15 01:47:35,Tarjeta de credito,1693,4368-2015-1688-148
108-91-4462,B,HA1,45932805,Gel de baño 10% urea Deliplus piel áspera y deshidratada,2.0,9,2025-02-07 09:15:49,Billetera Electronica,3617,311f716514524d828d2643c06e913d0b90d39a51d95570f71d4d001ad31c25c2
452-14-2240,B,CP1,25444443,Cebolla en polvo Hacendado,0.95,4,2023-10-04 12:59:06,Efectivo,3831,
452-14-2240,B,CP1,25444443,Bayeta grande clásica multiusos Bosque Verde microfibra,0.95,9,2023-10-04 12:59:06,Efectivo,3831,
452-14-2240,B,CP1,25444443,Esterilizador de microondas Deliplus,13.95,8,2023-10-04 12:59:06,Efectivo,3831,
249-91-1993,B,SJ1,34418836,Atún en aceite de girasol Hacendado,5.35,8,2023-06-18 10:36:53,Efectivo,1322,
249-91-1993,B,SJ1,34418836,Peine grande Deliplus,1.0,9,2023-06-18 10:36:53,Efectivo,1322,
249-91-1993,B,SJ1,34418836,Chocolate blanco Hacendado,0.7,5,2023-06-18 10:36:53,Efectivo,1322,
249-91-1993,B,SJ1,34418836,Mascarilla sin aclarado Bucle Perfect Deliplus cabello rizado,4.05,8,2023-06-18 10:36:53,Efectivo,1322,
249-91-1993,B,SJ1,34418836,Anís seco Regio,7.45,2,2023-06-18 10:36:53,Efectivo,1322,
998-13-1570,B,MD1,25945354,Vino tinto D.O Rioja Herederos del Marqués de Riscal reserva,14.4,9,2023-06-10 19:59:23,Efectivo,6216,
998-13-1570,B,MD1,25945354,Arroz negro Hacendado ultracongelado,2.15,10,2023-06-10 19:59:23,Efectivo,6216,
998-13-1570,B,MD1,25945354,Bebida láctea natural Actimel 0% materia grasa,4.79,4,2023-06-10 19:59:23,Efectivo,6216,
998-13-1570,B,MD1,25945354,Galletas Oreo,1.05,1,2023-06-10 19:59:23,Efectivo,6216,
998-13-1570,B,MD1,25945354,Espuma de afeitar piel sensible Gillette con aloe,2.35,8,2023-06-10 19:59:23,Efectivo,6216,
399-71-7129,A,RM1,21442287,Gazpacho blanco de almendras Hacendado con ajo blanco,2.85,10,2024-12-29 17:03:14,Billetera Electronica,6652,0629c86d7a972de4ddbc3c46d1973d42984ae899e5cd90db30d20c6e3d38381c
399-71-7129,A,RM1,21442287,Patatas fritas receta campesina Lay's,1.5,8,2024-12-29 17:03:14,Billetera Electronica,6652,0629c86d7a972de4ddbc3c46d1973d42984ae899e5cd90db30d20c6e3d38381c
399-71-7129,A,RM1,21442287,Rodajas de salmón,6.6,3,2024-12-29 17:03:14,Billetera Electronica,6652,0629c86d7a972de4ddbc3c46d1973d42984ae899e5cd90db30d20c6e3d38381c
399-71-7129,A,RM1,21442287,Bífidus cremoso lima & limón Activia,1.89,3,2024-12-29 17:03:14,Billetera Electronica,6652,0629c86d7a972de4ddbc3c46d1973d42984ae899e5cd90db30d20c6e3d38381c
399-71-7129,A,RM1,21442287,Natillas sabor vainilla Hacendado,0.69,7,2024-12-29 17:03:14,Billetera Electronica,6652,0629c86d7a972de4ddbc3c46d1973d42984ae899e5cd90db30d20c6e3d38381c
311-74-5334,A,SJ2,29350352,Sazonador al horno y microondas pescado a las finas hierbas Hacendado,0.95,6,2023-03-04 13:54:57,Efectivo,5950,
311-74-5334,A,SJ2,29350352,Mojicón sin azúcares añadidos Gloria,0.22,4,2023-03-04 13:54:57,Efectivo,5950,
301-78-1807,B,SJ1,39911918,Café molido descafeinado natural Hacendado,2.46,5,2023-08-02 11:23:13,Billetera Electronica,6271,ea1bcedbc5780230633c6634900d55bb121243a6d7be47bb1d6167d8fa79c6a6
301-78-1807,B,SJ1,39911918,Sosa caústica Bosque Verde,2.95,4,2023-08-02 11:23:13,Billetera Electronica,6271,ea1bcedbc5780230633c6634900d55bb121243a6d7be47bb1d6167d8fa79c6a6
691-20-6123,C,MD1,24220131,Seta,1.78,6,2024-02-19 18:19:52,Billetera Electronica,3831,d8563225f7882c067a3e09c0d02a4bf11c2831550885c8aaa25fb6f710d79e66
691-20-6123,C,MD1,24220131,Osi choc Hacendado espumas dulces bañadas de chocolate con leche,1.0,5,2024-02-19 18:19:52,Billetera Electronica,3831,d8563225f7882c067a3e09c0d02a4bf11c2831550885c8aaa25fb6f710d79e66
691-20-6123,C,MD1,24220131,Pan fino,9.0,1,2024-02-19 18:19:52,Billetera Electronica,3831,d8563225f7882c067a3e09c0d02a4bf11c2831550885c8aaa25fb6f710d79e66
691-20-6123,C,MD1,24220131,Coleteros varios colores Deliplus,1.95,2,2024-02-19 18:19:52,Billetera Electronica,3831,d8563225f7882c067a3e09c0d02a4bf11c2831550885c8aaa25fb6f710d79e66
445-86-8725,A,LD1,0,Platos de plástico Bosque Verde,1.3,1,2023-06-25 11:35:26,Tarjeta de credito,1322,4807-5073-2645-393
445-86-8725,A,LD1,0,Toallitas íntimas cuidado diario Deliplus,1.55,4,2023-06-25 11:35:26,Tarjeta de credito,1322,4807-5073-2645-393
445-86-8725,A,LD1,0,Pincel labios Deliplus,4.0,9,2023-06-25 11:35:26,Tarjeta de credito,1322,4807-5073-2645-393
445-86-8725,A,LD1,0,Limpiador muebles jabonoso Bosque Verde para madera tratada,1.45,2,2023-06-25 11:35:26,Tarjeta de credito,1322,4807-5073-2645-393
435-38-7011,C,RM2,31087621,Lote infantil Disney Villains,8.0,3,2024-08-19 02:10:51,Tarjeta de credito,6187,5161-9482-7367-1404
435-38-7011,C,RM2,31087621,Panela azúcar moreno de caña integral Hacenado,1.8,2,2024-08-19 02:10:51,Tarjeta de credito,6187,5161-9482-7367-1404
435-38-7011,C,RM2,31087621,Rape abierto en libro sin espina,15.42,1,2024-08-19 02:10:51,Tarjeta de credito,6187,5161-9482-7367-1404
416-20-3580,B,LD1,40883920,Crema reafirmante de senos Deliplus,6.0,3,2023-11-19 19:12:57,Tarjeta de credito,3676,4076-9224-5282-276
416-20-3580,B,LD1,40883920,Barritas de barquillo Tokke original,1.0,1,2023-11-19 19:12:57,Tarjeta de credito,3676,4076-9224-5282-276
958-16-7807,B,CP2,36727485,Polvo compacto matificante universal Deliplus,6.0,6,2024-01-03 14:23:53,Efectivo,2644,
958-16-7807,B,CP2,36727485,Piña,2.5,5,2024-01-03 14:23:53,Efectivo,2644,
958-16-7807,B,CP2,36727485,Aclarante crema color L'Oréal 03 rubio ultra claro ceniza,7.95,5,2024-01-03 14:23:53,Efectivo,2644,
958-16-7807,B,CP2,36727485,Pizza masa fina jamón Hacendado ultracongelada,2.29,2,2024-01-03 14:23:53,Efectivo,2644,
176-33-9757,B,HA1,0,Barrita con proteínas Enervit Sport sabor chocolate,2.2,2,2023-05-29 03:08:37,Efectivo,9502,
176-33-9757,B,HA1,0,Snack perro galletas Compy con aroma de vainilla,2.39,8,2023-05-29 03:08:37,Efectivo,9502,
176-33-9757,B,HA1,0,"Crema cara, cuerpo y manos Nivea Men",3.7,3,2023-05-29 03:08:37,Efectivo,9502,
176-33-9757,B,HA1,0,Crema facial con color BBsun FPS 50 Delial tono medio,8.9,5,2023-05-29 03:08:37,Efectivo,9502,
176-33-9757,B,HA1,0,Refresco limón Schweppes original,5.44,1,2023-05-29 03:08:37,Efectivo,9502,
456-67-7940,A,MD1,22476655,Mascarilla cabello dañado Elvive total repair,4.5,5,2024-04-21 14:18:30,Billetera Electronica,6326,11f620c571838deacc9101ecb6e1236a0036fee8a6dc4a97ffcce072f8dc98fc
456-67-7940,A,MD1,22476655,Gamba blanca cocida Hacendado ultracongelada,5.3,3,2024-04-21 14:18:30,Billetera Electronica,6326,11f620c571838deacc9101ecb6e1236a0036fee8a6dc4a97ffcce072f8dc98fc
456-67-7940,A,MD1,22476655,Helado fresa Hacendado,1.87,5,2024-04-21 14:18:30,Billetera Electronica,6326,11f620c571838deacc9101ecb6e1236a0036fee8a6dc4a97ffcce072f8dc98fc
456-67-7940,A,MD1,22476655,Concentrado de lima sin alcohol Dama De Baza,2.85,7,2024-04-21 14:18:30,Billetera Electronica,6326,11f620c571838deacc9101ecb6e1236a0036fee8a6dc4a97ffcce072f8dc98fc
548-12-4175,A,CP2,26109903,Desodorante hombre invisible Deliplus antimanchas,1.7,10,2024-04-28 21:57:25,Efectivo,3831,
908-87-8602,B,MD1,0,Galletas Roditas bañadas con chocolate negro Hacendado,0.57,10,2023-07-10 02:48:03,Tarjeta de credito,6679,5593-1675-0848-9238
753-51-5547,A,CP1,31571292,Carcasa de pollo rural,1.88,10,2024-11-21 01:20:36,Tarjeta de credito,3676,5502-0270-2338-4947
753-51-5547,A,CP1,31571292,Col lombarda,1.48,2,2024-11-21 01:20:36,Tarjeta de credito,3676,5502-0270-2338-4947
753-51-5547,A,CP1,31571292,Queso fundido light Hacendado lonchas,1.4,2,2024-11-21 01:20:36,Tarjeta de credito,3676,5502-0270-2338-4947
753-51-5547,A,CP1,31571292,Perfilador de ojos líquido eyeliner Deliplus marrón,3.5,10,2024-11-21 01:20:36,Tarjeta de credito,3676,5502-0270-2338-4947
753-51-5547,A,CP1,31571292,Mermelada de frambuesa Helios,1.55,7,2024-11-21 01:20:36,Tarjeta de credito,3676,5502-0270-2338-4947
255-85-5181,A,CP1,0,Refresco cola Pepsi light sin cafeína,1.22,4,2024-03-25 16:47:58,Billetera Electronica,6356,ffe4678cc901b711a02697c14f78b3dca2b7b1f13f5dc5c237a4086affae9e82
255-85-5181,A,CP1,0,Cuajada Hacendado,0.95,4,2024-03-25 16:47:58,Billetera Electronica,6356,ffe4678cc901b711a02697c14f78b3dca2b7b1f13f5dc5c237a4086affae9e82
776-87-9794,C,RM2,31070980,Limpiador placas de inducción Bosque Verde líquido,1.72,7,2024-10-11 15:12:56,Tarjeta de credito,4940,4111-5811-4413-471
776-87-9794,C,RM2,31070980,"Coloración permanente sin amoníaco Azalea 8.77 rubio claro, marrón intenso",3.5,10,2024-10-11 15:12:56,Tarjeta de credito,4940,4111-5811-4413-471
776-87-9794,C,RM2,31070980,Café en cápsula sontuoso L'Or Espresso,3.4,4,2024-10-11 15:12:56,Tarjeta de credito,4940,4111-5811-4413-471
805-92-4691,A,CP2,34176399,Sombra de ojos larga duración Deliplus 03,4.0,9,2023-05-11 02:25:18,Tarjeta de credito,7357,4727-0221-9425-315
805-92-4691,A,CP2,34176399,Retoca raíces instantáneo L'Oréal moreno,5.95,3,2023-05-11 02:25:18,Tarjeta de credito,7357,4727-0221-9425-315
805-92-4691,A,CP2,34176399,Gorgonzola Hacendado,1.62,4,2023-05-11 02:25:18,Tarjeta de credito,7357,4727-0221-9425-315
443-26-3382,A,RM2,21320315,Jamón serrano Incarlopsa lonchas,3.49,4,2023-06-13 22:28:54,Billetera Electronica,7127,d9921d053fa1acf2e288873db945c7c44a027318bfb46ffe5c49263ae006d579
443-26-3382,A,RM2,21320315,Caramelos nata Dolis 0% azúcares,0.95,9,2023-06-13 22:28:54,Billetera Electronica,7127,d9921d053fa1acf2e288873db945c7c44a027318bfb46ffe5c49263ae006d579
443-26-3382,A,RM2,21320315,Eau de toilette mujer aguas de Victorio & Lucchino Nº 6 Magnolia sensual,9.9,10,2023-06-13 22:28:54,Billetera Electronica,7127,d9921d053fa1acf2e288873db945c7c44a027318bfb46ffe5c49263ae006d579
443-26-3382,A,RM2,21320315,Pan de molde 100% integral Hacendado,0.69,3,2023-06-13 22:28:54,Billetera Electronica,7127,d9921d053fa1acf2e288873db945c7c44a027318bfb46ffe5c49263ae006d579
443-26-3382,A,RM2,21320315,Suavizante ropa dulzzia Bosque Verde concentrado,1.79,6,2023-06-13 22:28:54,Billetera Electronica,7127,d9921d053fa1acf2e288873db945c7c44a027318bfb46ffe5c49263ae006d579
932-60-2966,B,HA1,46174803,Altramuces Dorisol,1.0,8,2023-06-17 02:44:05,Efectivo,2810,
161-67-8322,A,CP2,36678992,Pancakes Hacendado,2.2,7,2023-03-11 16:22:42,Billetera Electronica,9502,a29499a386d8e3bac5278cd077ac19224de9338184126d9f01cb29789efa3706
161-67-8322,A,CP2,36678992,Queso blando Président snack,2.38,2,2023-03-11 16:22:42,Billetera Electronica,9502,a29499a386d8e3bac5278cd077ac19224de9338184126d9f01cb29789efa3706
161-67-8322,A,CP2,36678992,Vino tinto Masía de Altigón,4.75,4,2023-03-11 16:22:42,Billetera Electronica,9502,a29499a386d8e3bac5278cd077ac19224de9338184126d9f01cb29789efa3706
161-67-8322,A,CP2,36678992,Aceitunas manzanilla rellenas de anchoa Hacendado,1.98,1,2023-03-11 16:22:42,Billetera Electronica,9502,a29499a386d8e3bac5278cd077ac19224de9338184126d9f01cb29789efa3706
161-67-8322,A,CP2,36678992,Flautas de pollo y queso,1.7,10,2023-03-11 16:22:42,Billetera Electronica,9502,a29499a386d8e3bac5278cd077ac19224de9338184126d9f01cb29789efa3706
364-40-9629,B,MD2,22843945,Miel de naranjo Hacendado,3.84,10,2023-03-15 13:29:03,Tarjeta de credito,6679,4576-4826-9313-707
858-46-5912,B,MD2,34193625,Patatas fritas 0% sal añadida Hacendado,0.79,1,2023-08-10 10:08:58,Efectivo,5127,
858-46-5912,B,MD2,34193625,Mermelada de melocotón Hacendado,1.05,10,2023-08-10 10:08:58,Efectivo,5127,
199-91-8468,C,CP1,31144962,Detergente ropa blanca y de color Bosque Verde en gel concentrado,3.25,4,2024-03-18 10:06:29,Billetera Electronica,2644,1c78aa47a1e009c95af3438770d27a47aa52667bf48e13faf6df3c67a7969fe9
199-91-8468,C,CP1,31144962,Tiras protectoras infantiles de plástico Minions Doctor San resistentes al agua,0.99,1,2024-03-18 10:06:29,Billetera Electronica,2644,1c78aa47a1e009c95af3438770d27a47aa52667bf48e13faf6df3c67a7969fe9
668-42-4960,B,SJ2,33519985,Corazones de alcachofa Hacendado,2.3,2,2025-01-11 10:46:43,Tarjeta de credito,1417,5510-6503-0660-2022
668-42-4960,B,SJ2,33519985,"Recipiente de plástico redondo 0,5L Bosque Verde",1.8,8,2025-01-11 10:46:43,Tarjeta de credito,1417,5510-6503-0660-2022
668-42-4960,B,SJ2,33519985,Huevas de bacalao Hacendado,1.55,4,2025-01-11 10:46:43,Tarjeta de credito,1417,5510-6503-0660-2022
320-13-5684,C,CP2,0,Crema depilatoria Veet piel sensible,4.85,1,2024-08-27 11:08:36,Efectivo,1722,
320-13-5684,C,CP2,0,Dentífrico gel fresh Deliplus con flúor,0.9,8,2024-08-27 11:08:36,Efectivo,1722,
320-13-5684,C,CP2,0,Vino rosado D.O Rioja Comportillo cosecha,2.35,7,2024-08-27 11:08:36,Efectivo,1722,
320-13-5684,C,CP2,0,Pizza barbacoa familiar Hacendado,2.99,3,2024-08-27 11:08:36,Efectivo,1722,
320-13-5684,C,CP2,0,Bolsa de basura saco Bosque Verde 120L cubo industrial,1.25,10,2024-08-27 11:08:36,Efectivo,1722,
